id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_pf,full_dd
SIP_059,SIP_059: PURE_STOCKS | MOM_HURDLE_20 | 5Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_20,5,SMART_STEPLADDER,21.62,25.11,17.81,16.8,29.78,37.21,57.5,-16.17,-7.34,14.5,17.7,1.28,0.19,14.4
SIP_068,SIP_068: PURE_STOCKS | 52W_HIGH_PROXI | 3Stk | DYNAMIC_ATR,PURE_STOCKS,52W_HIGH_PROXIMITY,3,DYNAMIC_ATR,21.6,25.02,17.72,16.8,31.23,38.67,60.5,-19.26,-10.43,14.5,15.78,0.0,0.0,14.6
SIP_020,SIP_020: PURE_STOCKS | CLENOW_MOMENTU | 3Stk | DYNAMIC_ATR,PURE_STOCKS,CLENOW_MOMENTUM,3,DYNAMIC_ATR,21.58,41.66,34.36,26.8,19.5,26.94,36.9,-21.34,-12.52,14.5,12.81,0.0,0.0,14.5
SIP_002,SIP_002: PURE_STOCKS | MULTI_LOOKBACK | 3Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,3,VAN_THARP_3TIER,21.5,36.62,29.32,23.9,22.45,29.88,42.8,-28.09,-19.26,14.5,13.84,2.22,0.16,17.7
SIP_065,SIP_065: PURE_STOCKS | 52W_HIGH_PROXI | 3Stk | ADAPTIVE_STR,PURE_STOCKS,52W_HIGH_PROXIMITY,3,ADAPTIVE_STRUCTURAL,21.49,26.77,19.47,17.9,29.25,36.68,56.5,-19.26,-10.43,14.5,15.78,0.0,0.0,14.6
SIP_038,SIP_038: PURE_STOCKS | MOM_HURDLE_30 | 4Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_30,4,VAN_THARP_3TIER,21.43,32.05,24.75,21.1,24.34,31.78,46.5,-18.92,-10.09,14.5,16.01,1.38,0.32,15.3
SIP_071,SIP_071: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | SMART_STEPLA,PURE_STOCKS,52W_HIGH_PROXIMITY,4,SMART_STEPLADDER,21.37,34.45,27.15,22.6,23.6,31.04,45.1,-18.3,-9.47,14.5,14.02,0.81,0.16,16.2
SIP_060,SIP_060: PURE_STOCKS | MOM_HURDLE_20 | 5Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,5,DYNAMIC_ATR,21.34,23.85,16.55,16.0,29.78,37.21,57.5,-16.16,-7.33,14.5,17.7,0.0,0.0,13.5
SIP_036,SIP_036: PURE_STOCKS | MOM_HURDLE_30 | 3Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_30,3,DYNAMIC_ATR,20.94,30.75,23.45,20.3,22.48,29.91,42.8,-19.71,-10.88,14.5,17.28,0.0,0.0,13.0
SIP_098,SIP_098: PURE_STOCKS | QUALITY_COMPOS | 3Stk | VAN_THARP_3T,PURE_STOCKS,QUALITY_COMPOSITE,3,VAN_THARP_3TIER,20.62,34.43,27.13,22.6,19.5,26.94,36.9,-17.54,-8.71,14.5,15.37,1.82,0.4,16.4
SIP_050,SIP_050: PURE_STOCKS | MOM_HURDLE_20 | 3Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_20,3,VAN_THARP_3TIER,20.62,34.43,27.13,22.6,19.5,26.94,36.9,-17.54,-8.71,14.5,15.37,1.82,0.4,16.4
