id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_025,SW_025: MULTI_LOOKBACK | 6Slots | LIVERMORE_ | CHANDELIER_R,MULTI_LOOKBACK,6,LIVERMORE_50,CHANDELIER_RUNNER,27.26,-14.43,-27.4,0.51,15.36,87.4,0.73,43.75,12.6,20.03,12.6,0.76,1.14,18.7,60.4
SW_069,SW_069: CLENOW_SMOOTHN | 4Slots | LIVERMORE_ | ASYMMETRIC_2,CLENOW_SMOOTHNESS,4,LIVERMORE_50,ASYMMETRIC_2.0,26.83,-1.32,-2.7,0.57,10.82,57.1,0.84,25.32,27.83,35.26,27.8,0.86,1.33,18.7,59.9
SW_037,SW_037: MULTI_LOOKBACK | 8Slots | LIVERMORE_ | REGIME_ADAPT,MULTI_LOOKBACK,8,LIVERMORE_50,REGIME_ADAPTIVE,25.86,-16.51,-30.9,0.71,14.13,78.8,0.84,45.79,24.13,31.56,24.1,0.77,1.24,21.7,61.2
SW_047,SW_047: MULTI_LOOKBACK | 10Slots | NONE | REGIME_ADAPT,MULTI_LOOKBACK,10,NONE,REGIME_ADAPTIVE,24.24,-15.47,-29.2,0.77,12.82,70.0,0.95,42.88,30.87,38.31,30.9,0.84,1.31,16.1,60.9
SW_046,SW_046: MULTI_LOOKBACK | 10Slots | NONE | THREE_TIER_S,MULTI_LOOKBACK,10,NONE,THREE_TIER_SCALE,24.17,-17.49,-32.6,0.69,13.02,71.3,0.91,46.48,27.27,34.7,27.3,0.86,1.28,17.1,59.8
SW_013,SW_013: MULTI_LOOKBACK | 4Slots | AGGRESSIVE | SYMMETRIC_1.,MULTI_LOOKBACK,4,AGGRESSIVE_75,SYMMETRIC_1.5,24.1,-20.9,-38.2,0.62,17.21,101.0,0.86,27.08,13.36,20.8,13.4,0.75,1.13,18.8,61.0
SW_045,SW_045: MULTI_LOOKBACK | 8Slots | AGGRESSIVE | CHANDELIER_R,MULTI_LOOKBACK,8,AGGRESSIVE_75,CHANDELIER_RUNNER,23.91,-12.08,-23.2,0.72,10.6,55.7,0.67,53.8,23.36,30.79,23.4,0.74,1.24,21.3,62.4
SW_020,SW_020: MULTI_LOOKBACK | 6Slots | NONE | CHANDELIER_R,MULTI_LOOKBACK,6,NONE,CHANDELIER_RUNNER,23.23,-21.22,-38.7,0.69,15.24,86.6,0.83,44.39,12.96,20.39,13.0,0.8,1.1,21.5,57.9
SW_052,SW_052: MULTI_LOOKBACK | 10Slots | LIVERMORE_ | REGIME_ADAPT,MULTI_LOOKBACK,10,LIVERMORE_50,REGIME_ADAPTIVE,22.6,-16.05,-30.1,0.72,11.14,59.1,0.86,53.57,26.75,34.18,26.8,0.77,1.28,16.4,62.6
SW_096,SW_096: CLENOW_SMOOTHN | 8Slots | LIVERMORE_ | THREE_TIER_S,CLENOW_SMOOTHNESS,8,LIVERMORE_50,THREE_TIER_SCALE,22.17,-5.67,-11.3,0.67,7.35,36.6,0.92,51.41,22.87,30.3,22.9,0.84,1.27,10.6,59.9
SW_081,SW_081: CLENOW_SMOOTHN | 6Slots | LIVERMORE_ | THREE_TIER_S,CLENOW_SMOOTHNESS,6,LIVERMORE_50,THREE_TIER_SCALE,21.51,-2.92,-5.9,0.53,7.38,36.8,0.85,35.86,26.25,33.69,26.2,0.86,1.35,10.8,59.7
SW_060,SW_060: MULTI_LOOKBACK | 10Slots | AGGRESSIVE | CHANDELIER_R,MULTI_LOOKBACK,10,AGGRESSIVE_75,CHANDELIER_RUNNER,21.49,-13.47,-25.7,0.68,8.63,43.9,0.76,65.89,19.33,26.77,19.3,0.78,1.2,17.8,60.4
SW_033,SW_033: MULTI_LOOKBACK | 8Slots | NONE | SYMMETRIC_1.,MULTI_LOOKBACK,8,NONE,SYMMETRIC_1.5,21.46,-19.55,-36.0,0.74,12.99,71.1,0.88,39.27,27.34,34.78,27.3,0.82,1.23,15.9,60.2
SW_048,SW_048: MULTI_LOOKBACK | 10Slots | NONE | SYMMETRIC_1.,MULTI_LOOKBACK,10,NONE,SYMMETRIC_1.5,20.98,-15.91,-29.9,0.78,10.95,57.9,0.91,44.43,30.1,37.54,30.1,0.84,1.27,15.4,60.2
SW_064,SW_064: CLENOW_SMOOTHN | 4Slots | NONE | ASYMMETRIC_2,CLENOW_SMOOTHNESS,4,NONE,ASYMMETRIC_2.0,20.98,-13.29,-25.4,0.76,10.3,53.9,0.81,37.72,26.64,34.08,26.6,0.88,1.24,21.4,58.7
SW_084,SW_084: CLENOW_SMOOTHN | 6Slots | LIVERMORE_ | ASYMMETRIC_2,CLENOW_SMOOTHNESS,6,LIVERMORE_50,ASYMMETRIC_2.0,20.49,0.51,1.0,0.64,7.3,36.3,0.81,19.79,25.87,33.31,25.9,0.91,1.32,11.6,59.5
SW_008,SW_008: MULTI_LOOKBACK | 4Slots | LIVERMORE_ | SYMMETRIC_1.,MULTI_LOOKBACK,4,LIVERMORE_50,SYMMETRIC_1.5,19.97,-17.54,-32.7,0.6,13.72,76.0,0.79,24.62,18.29,25.73,18.3,0.75,1.19,19.8,62.3
SW_063,SW_063: CLENOW_SMOOTHN | 4Slots | NONE | SYMMETRIC_1.,CLENOW_SMOOTHNESS,4,NONE,SYMMETRIC_1.5,19.47,-13.18,-25.2,0.7,10.04,52.3,0.82,37.96,25.72,33.16,25.7,0.83,1.2,20.0,59.2
SW_058,SW_058: MULTI_LOOKBACK | 10Slots | AGGRESSIVE | SYMMETRIC_1.,MULTI_LOOKBACK,10,AGGRESSIVE_75,SYMMETRIC_1.5,19.47,-16.46,-30.9,0.66,10.1,52.7,0.89,47.97,26.03,33.47,26.0,0.79,1.25,14.8,60.8
SW_086,SW_086: CLENOW_SMOOTHN | 6Slots | AGGRESSIVE | THREE_TIER_S,CLENOW_SMOOTHNESS,6,AGGRESSIVE_75,THREE_TIER_SCALE,19.26,1.13,2.3,0.69,2.76,12.7,0.64,49.29,20.88,28.32,20.9,0.81,1.29,11.1,61.0
SW_066,SW_066: CLENOW_SMOOTHN | 4Slots | LIVERMORE_ | THREE_TIER_S,CLENOW_SMOOTHNESS,4,LIVERMORE_50,THREE_TIER_SCALE,19.23,-4.33,-8.7,0.51,4.2,19.8,0.79,41.02,27.51,34.94,27.5,0.83,1.33,13.3,61.6
SW_089,SW_089: CLENOW_SMOOTHN | 6Slots | AGGRESSIVE | ASYMMETRIC_2,CLENOW_SMOOTHNESS,6,AGGRESSIVE_75,ASYMMETRIC_2.0,19.12,6.38,13.5,0.77,1.48,6.7,0.61,30.5,28.41,35.84,28.4,0.9,1.38,11.6,60.1
SW_022,SW_022: MULTI_LOOKBACK | 6Slots | LIVERMORE_ | REGIME_ADAPT,MULTI_LOOKBACK,6,LIVERMORE_50,REGIME_ADAPTIVE,19.08,-14.39,-27.3,0.61,9.91,51.5,0.69,44.86,15.66,23.09,15.7,0.77,1.17,18.5,60.9
SW_038,SW_038: MULTI_LOOKBACK | 8Slots | LIVERMORE_ | SYMMETRIC_1.,MULTI_LOOKBACK,8,LIVERMORE_50,SYMMETRIC_1.5,18.62,-20.27,-37.1,0.61,12.78,69.7,0.91,37.93,14.4,21.83,14.4,0.75,1.12,24.6,60.4
SW_053,SW_053: MULTI_LOOKBACK | 10Slots | LIVERMORE_ | SYMMETRIC_1.,MULTI_LOOKBACK,10,LIVERMORE_50,SYMMETRIC_1.5,18.62,-19.13,-35.3,0.63,11.24,59.7,0.93,42.23,24.71,32.14,24.7,0.78,1.23,15.9,61.2
SW_091,SW_091: CLENOW_SMOOTHN | 8Slots | NONE | THREE_TIER_S,CLENOW_SMOOTHNESS,8,NONE,THREE_TIER_SCALE,18.04,-9.43,-18.4,0.71,7.72,38.7,0.93,42.08,20.12,27.55,20.1,0.88,1.24,9.5,58.4
SW_099,SW_099: CLENOW_SMOOTHN | 8Slots | LIVERMORE_ | ASYMMETRIC_2,CLENOW_SMOOTHNESS,8,LIVERMORE_50,ASYMMETRIC_2.0,17.55,-6.45,-12.8,0.65,6.22,30.4,0.92,38.95,23.21,30.65,23.2,0.91,1.26,10.4,58.1
SW_035,SW_035: MULTI_LOOKBACK | 8Slots | NONE | CHANDELIER_R,MULTI_LOOKBACK,8,NONE,CHANDELIER_RUNNER,17.37,-17.3,-32.3,0.69,10.71,56.4,0.81,39.73,20.37,27.8,20.4,0.79,1.2,16.8,60.5
SW_027,SW_027: MULTI_LOOKBACK | 6Slots | AGGRESSIVE | REGIME_ADAPT,MULTI_LOOKBACK,6,AGGRESSIVE_75,REGIME_ADAPTIVE,17.24,-15.59,-29.4,0.62,10.55,55.4,0.58,41.13,7.02,14.45,7.0,0.65,1.07,17.6,62.2
SW_043,SW_043: MULTI_LOOKBACK | 8Slots | AGGRESSIVE | SYMMETRIC_1.,MULTI_LOOKBACK,8,AGGRESSIVE_75,SYMMETRIC_1.5,17.02,-21.54,-39.2,0.61,12.43,67.4,0.9,33.09,17.03,24.47,17.0,0.78,1.15,23.8,60.0
SW_012,SW_012: MULTI_LOOKBACK | 4Slots | AGGRESSIVE | REGIME_ADAPT,MULTI_LOOKBACK,4,AGGRESSIVE_75,REGIME_ADAPTIVE,16.97,-15.92,-29.9,0.68,12.48,67.8,0.8,26.6,3.16,10.6,3.2,0.72,1.02,17.0,60.1
SW_083,SW_083: CLENOW_SMOOTHN | 6Slots | LIVERMORE_ | SYMMETRIC_1.,CLENOW_SMOOTHNESS,6,LIVERMORE_50,SYMMETRIC_1.5,16.6,-2.94,-5.9,0.54,6.55,32.2,0.76,21.57,25.18,32.62,25.2,0.81,1.29,10.2,61.3
SW_079,SW_079: CLENOW_SMOOTHN | 6Slots | NONE | ASYMMETRIC_2,CLENOW_SMOOTHNESS,6,NONE,ASYMMETRIC_2.0,16.06,-7.75,-15.2,0.67,4.59,21.8,0.81,47.96,19.41,26.84,19.4,0.9,1.18,11.7,56.7
SW_050,SW_050: MULTI_LOOKBACK | 10Slots | NONE | CHANDELIER_R,MULTI_LOOKBACK,10,NONE,CHANDELIER_RUNNER,16.0,-15.1,-28.5,0.71,8.65,44.0,0.94,43.04,20.71,28.14,20.7,0.83,1.2,17.2,58.8
SW_082,SW_082: CLENOW_SMOOTHN | 6Slots | LIVERMORE_ | REGIME_ADAPT,CLENOW_SMOOTHNESS,6,LIVERMORE_50,REGIME_ADAPTIVE,15.78,-0.32,-0.7,0.65,4.49,21.3,0.76,22.96,23.54,30.97,23.5,0.85,1.3,12.2,60.5
SW_094,SW_094: CLENOW_SMOOTHN | 8Slots | NONE | ASYMMETRIC_2,CLENOW_SMOOTHNESS,8,NONE,ASYMMETRIC_2.0,15.72,-10.15,-19.7,0.7,6.12,29.9,0.9,46.04,18.53,25.96,18.5,0.92,1.2,8.7,56.5
SW_073,SW_073: CLENOW_SMOOTHN | 4Slots | AGGRESSIVE | SYMMETRIC_1.,CLENOW_SMOOTHNESS,4,AGGRESSIVE_75,SYMMETRIC_1.5,15.54,0.53,1.1,0.55,4.75,22.6,0.8,19.87,18.33,25.76,18.3,0.75,1.19,16.9,60.9
SW_068,SW_068: CLENOW_SMOOTHN | 4Slots | LIVERMORE_ | SYMMETRIC_1.,CLENOW_SMOOTHNESS,4,LIVERMORE_50,SYMMETRIC_1.5,15.37,-5.9,-11.7,0.49,6.1,29.7,0.84,32.34,14.52,21.95,14.5,0.77,1.14,15.9,60.7
SW_100,SW_100: CLENOW_SMOOTHN | 8Slots | LIVERMORE_ | CHANDELIER_R,CLENOW_SMOOTHNESS,8,LIVERMORE_50,CHANDELIER_RUNNER,15.35,-7.95,-15.6,0.66,6.15,30.0,0.73,40.11,14.98,22.41,15.0,0.74,1.17,11.1,61.5
SW_088,SW_088: CLENOW_SMOOTHN | 6Slots | AGGRESSIVE | SYMMETRIC_1.,CLENOW_SMOOTHNESS,6,AGGRESSIVE_75,SYMMETRIC_1.5,15.16,-2.34,-4.7,0.56,2.88,13.3,0.72,36.2,23.42,30.86,23.4,0.8,1.27,12.1,61.0
SW_071,SW_071: CLENOW_SMOOTHN | 4Slots | AGGRESSIVE | THREE_TIER_S,CLENOW_SMOOTHNESS,4,AGGRESSIVE_75,THREE_TIER_SCALE,15.1,-8.07,-15.8,0.6,3.83,18.0,0.84,37.56,25.23,32.66,25.2,0.84,1.29,14.2,59.9
SW_098,SW_098: CLENOW_SMOOTHN | 8Slots | LIVERMORE_ | SYMMETRIC_1.,CLENOW_SMOOTHNESS,8,LIVERMORE_50,SYMMETRIC_1.5,14.75,-11.89,-22.9,0.6,7.04,34.9,0.85,40.34,17.16,24.59,17.2,0.81,1.17,10.3,59.1
SW_097,SW_097: CLENOW_SMOOTHN | 8Slots | LIVERMORE_ | REGIME_ADAPT,CLENOW_SMOOTHNESS,8,LIVERMORE_50,REGIME_ADAPTIVE,14.69,-6.49,-12.9,0.71,4.84,23.1,0.81,35.53,22.84,30.27,22.8,0.85,1.25,11.1,59.7
