id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_0777,SW_0777: DONCHIAN_TURT | 6Slots | AGGRESSIVE | THREE_TIER_W,DONCHIAN_TURTLE,6,AGGRESSIVE_75,THREE_TIER_WIDE,-0.67,-13.86,-26.0,1.01,-11.45,-41.4,0.66,70.74,17.37,23.93,17.4,1.12,1.23,11.3,52.0
SW_0752,SW_0752: DONCHIAN_TURT | 5Slots | LIVERMORE_ | THREE_TIER_W,DONCHIAN_TURTLE,5,LIVERMORE_50,THREE_TIER_WIDE,-0.73,-14.03,-26.3,0.64,-9.35,-35.1,0.86,76.79,-0.12,6.45,-0.1,0.84,0.96,12.8,54.2
SW_0748,SW_0748: DONCHIAN_TURT | 5Slots | CONSERVATI | ASYMMETRIC_R,DONCHIAN_TURTLE,5,CONSERVATIVE_25,ASYMMETRIC_RUNNER,-0.97,-15.92,-29.5,0.68,-7.35,-28.5,0.64,60.69,12.97,19.53,13.0,0.91,1.17,11.1,56.1
SW_0756,SW_0756: DONCHIAN_TURT | 5Slots | AGGRESSIVE | THREE_TIER_T,DONCHIAN_TURTLE,5,AGGRESSIVE_75,THREE_TIER_TIGHT,-0.98,-14.66,-27.4,0.88,-6.89,-27.0,0.56,64.08,5.61,12.17,5.6,1.09,1.04,11.9,49.1
SW_0765,SW_0765: DONCHIAN_TURT | 6Slots | NONE | CHANDELIER_R,DONCHIAN_TURTLE,6,NONE,CHANDELIER_RUNNER,-1.18,-21.02,-37.9,0.57,-5.81,-23.1,0.91,61.65,18.06,24.62,18.1,1.08,1.25,12.0,53.8
SW_0449,SW_0449: MINERVINI_VCP | 5Slots | CONSERVATI | REGIME_ADAPT,MINERVINI_VCP,5,CONSERVATIVE_25,REGIME_ADAPTIVE,-1.63,-6.87,-13.4,0.72,-6.38,-25.2,0.86,40.66,-10.07,-3.51,-10.1,1.03,0.81,17.8,44.9
SW_0736,SW_0736: DONCHIAN_TURT | 4Slots | AGGRESSIVE | THREE_TIER_T,DONCHIAN_TURTLE,4,AGGRESSIVE_75,THREE_TIER_TIGHT,-1.68,-13.04,-24.6,0.94,-10.23,-37.8,0.72,77.93,-8.25,-1.69,-8.2,0.96,0.87,16.6,48.6
SW_0853,SW_0853: RANGE_EXPANSI | 5Slots | LIVERMORE_ | ASYMMETRIC_R,RANGE_EXPANSION_BURST,5,LIVERMORE_50,ASYMMETRIC_RUNNER,-1.71,-18.37,-33.6,0.57,-1.13,-4.9,1.31,37.91,-5.27,1.29,-5.3,1.17,0.9,12.0,45.5
SW_0750,SW_0750: DONCHIAN_TURT | 5Slots | CONSERVATI | CHANDELIER_R,DONCHIAN_TURTLE,5,CONSERVATIVE_25,CHANDELIER_RUNNER,-1.79,-18.44,-33.7,0.65,-8.74,-33.1,0.49,65.16,17.11,23.67,17.1,1.03,1.25,10.4,55.5
SW_0732,SW_0732: DONCHIAN_TURT | 4Slots | LIVERMORE_ | THREE_TIER_W,DONCHIAN_TURTLE,4,LIVERMORE_50,THREE_TIER_WIDE,-1.89,-14.78,-27.6,0.66,-6.9,-27.0,0.68,73.31,-7.85,-1.29,-7.8,0.87,0.86,16.0,48.9
SW_0788,SW_0788: DONCHIAN_TURT | 8Slots | CONSERVATI | ASYMMETRIC_R,DONCHIAN_TURTLE,8,CONSERVATIVE_25,ASYMMETRIC_RUNNER,-2.02,-17.23,-31.7,0.61,-5.23,-21.0,0.79,57.46,7.65,14.22,7.7,0.87,1.08,10.6,55.1
SW_0728,SW_0728: DONCHIAN_TURT | 4Slots | CONSERVATI | ASYMMETRIC_R,DONCHIAN_TURTLE,4,CONSERVATIVE_25,ASYMMETRIC_RUNNER,-2.05,-15.56,-28.9,0.69,-10.11,-37.4,0.58,63.56,10.01,16.57,10.0,0.93,1.1,10.7,54.3
SW_0479,SW_0479: MINERVINI_VCP | 6Slots | AGGRESSIVE | REGIME_ADAPT,MINERVINI_VCP,6,AGGRESSIVE_75,REGIME_ADAPTIVE,-2.33,-6.28,-12.3,0.73,-7.19,-28.0,0.73,37.87,-9.88,-3.32,-9.9,1.01,0.81,15.6,45.0
SW_0768,SW_0768: DONCHIAN_TURT | 6Slots | CONSERVATI | ASYMMETRIC_R,DONCHIAN_TURTLE,6,CONSERVATIVE_25,ASYMMETRIC_RUNNER,-2.96,-17.02,-31.4,0.61,-8.25,-31.5,0.64,67.24,0.43,6.99,0.4,0.91,0.97,14.6,51.9
SW_0876,SW_0876: RANGE_EXPANSI | 6Slots | AGGRESSIVE | THREE_TIER_T,RANGE_EXPANSION_BURST,6,AGGRESSIVE_75,THREE_TIER_TIGHT,-3.04,-24.55,-43.3,0.72,2.72,12.5,1.27,43.56,-25.73,-19.17,-25.7,0.98,0.69,31.6,42.3
SW_0401,SW_0401: MINERVINI_VCP | 3Slots | NONE | THREE_TIER_T,MINERVINI_VCP,3,NONE,THREE_TIER_TIGHT,-3.17,-4.48,-8.8,0.73,-4.91,-19.9,0.65,27.54,-21.86,-15.3,-21.9,0.96,0.67,25.1,41.8
SW_0875,SW_0875: RANGE_EXPANSI | 6Slots | LIVERMORE_ | CHANDELIER_R,RANGE_EXPANSION_BURST,6,LIVERMORE_50,CHANDELIER_RUNNER,-3.32,-20.45,-37.0,0.57,1.28,5.7,1.14,25.22,-7.18,-0.62,-7.2,1.11,0.88,17.4,45.6
SW_0754,SW_0754: DONCHIAN_TURT | 5Slots | LIVERMORE_ | REGIME_ADAPT,DONCHIAN_TURTLE,5,LIVERMORE_50,REGIME_ADAPTIVE,-3.43,-13.65,-25.6,0.8,-9.86,-36.7,0.4,62.11,2.9,9.47,2.9,0.83,1.01,11.1,55.0
SW_0801,SW_0801: RANGE_EXPANSI | 3Slots | NONE | THREE_TIER_T,RANGE_EXPANSION_BURST,3,NONE,THREE_TIER_TIGHT,-3.59,-20.15,-36.5,0.77,3.4,15.8,1.29,17.39,-18.58,-12.02,-18.6,1.11,0.78,26.9,44.9
SW_0791,SW_0791: DONCHIAN_TURT | 8Slots | LIVERMORE_ | THREE_TIER_T,DONCHIAN_TURTLE,8,LIVERMORE_50,THREE_TIER_TIGHT,-3.67,-15.82,-29.3,0.86,-8.0,-30.7,0.87,49.47,12.04,18.61,12.0,1.03,1.14,9.8,52.7
SW_0858,SW_0858: RANGE_EXPANSI | 5Slots | AGGRESSIVE | ASYMMETRIC_R,RANGE_EXPANSION_BURST,5,AGGRESSIVE_75,ASYMMETRIC_RUNNER,-3.67,-18.95,-34.5,0.44,-2.22,-9.4,1.23,34.03,-8.88,-2.32,-8.9,1.0,0.84,17.3,47.7
SW_0873,SW_0873: RANGE_EXPANSI | 6Slots | LIVERMORE_ | ASYMMETRIC_R,RANGE_EXPANSION_BURST,6,LIVERMORE_50,ASYMMETRIC_RUNNER,-3.71,-24.85,-43.8,0.66,-0.86,-3.7,1.2,40.31,-6.7,-0.13,-6.7,0.98,0.87,16.0,47.2
SW_0747,SW_0747: DONCHIAN_TURT | 5Slots | CONSERVATI | THREE_TIER_W,DONCHIAN_TURTLE,5,CONSERVATIVE_25,THREE_TIER_WIDE,-3.81,-16.85,-31.1,0.76,-10.01,-37.1,0.75,69.78,0.64,7.2,0.6,0.87,0.97,15.3,53.0
SW_0783,SW_0783: DONCHIAN_TURT | 8Slots | NONE | ASYMMETRIC_R,DONCHIAN_TURTLE,8,NONE,ASYMMETRIC_RUNNER,-3.86,-18.05,-33.1,0.62,-5.44,-21.8,0.92,46.27,10.94,17.5,10.9,0.98,1.14,8.5,53.8
SW_0731,SW_0731: DONCHIAN_TURT | 4Slots | LIVERMORE_ | THREE_TIER_T,DONCHIAN_TURTLE,4,LIVERMORE_50,THREE_TIER_TIGHT,-3.92,-14.29,-26.7,0.87,-9.98,-37.0,0.8,63.95,3.68,10.24,3.7,1.07,1.02,15.3,47.6
SW_0785,SW_0785: DONCHIAN_TURT | 8Slots | NONE | CHANDELIER_R,DONCHIAN_TURTLE,8,NONE,CHANDELIER_RUNNER,-3.93,-21.29,-38.3,0.53,-7.17,-27.9,0.87,55.26,19.09,25.65,19.1,1.03,1.3,9.3,55.8
SW_0790,SW_0790: DONCHIAN_TURT | 8Slots | CONSERVATI | CHANDELIER_R,DONCHIAN_TURTLE,8,CONSERVATIVE_25,CHANDELIER_RUNNER,-3.98,-19.6,-35.6,0.58,-11.2,-40.7,0.51,70.45,14.24,20.81,14.2,0.94,1.2,9.7,57.0
SW_0727,SW_0727: DONCHIAN_TURT | 4Slots | CONSERVATI | THREE_TIER_W,DONCHIAN_TURTLE,4,CONSERVATIVE_25,THREE_TIER_WIDE,-4.06,-16.57,-30.6,0.71,-8.08,-31.0,0.66,60.82,1.45,8.01,1.4,0.85,0.98,12.6,53.6
