id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0159,SIP_0159: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | DYNAMIC_ATR,PURE_STOCKS,52W_HIGH_PROXIMITY,4,DYNAMIC_ATR,11.14,9.82,-7.92,7.2,7.66,10.11,17.2,-12.9,7.35,14.5,15.96,2.64,11.6
SIP_0876,SIP_0876: MULTI_ASSET | MOM_HURDLE_30 | 3Stk | VAN_THARP_3T,MULTI_ASSET_BALANCED,MOM_HURDLE_30,3,VAN_THARP_3TIER,11.11,5.15,-12.6,3.8,9.69,12.14,21.9,-17.5,2.75,14.5,19.21,0.3,12.5
SIP_0676,SIP_0676: MOMENTUM_RO | MOM_HURDLE_30 | 3Stk | VAN_THARP_3T,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,3,VAN_THARP_3TIER,11.11,5.15,-12.6,3.8,9.69,12.14,21.9,-17.5,2.75,14.5,19.21,0.3,12.5
SIP_0476,SIP_0476: TACTICAL_MA | MOM_HURDLE_30 | 3Stk | VAN_THARP_3T,TACTICAL_MACRO_80_20,MOM_HURDLE_30,3,VAN_THARP_3TIER,11.11,5.15,-12.6,3.8,9.69,12.14,21.9,-17.5,2.75,14.5,19.21,0.3,12.5
SIP_0009,SIP_0009: PURE_STOCKS | CLENOW_MOMENTU | 4Stk | DYNAMIC_ATR,PURE_STOCKS,CLENOW_MOMENTUM,4,DYNAMIC_ATR,11.1,16.12,-1.63,11.5,9.2,11.65,20.8,-16.61,3.64,14.5,6.31,1.85,14.2
SIP_0697,SIP_0697: MOMENTUM_RO | MOM_HURDLE_30 | 8Stk | SMART_STEPLA,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,8,SMART_STEPLADDER,11.09,8.64,-9.11,6.3,8.59,11.04,19.4,-16.54,3.71,14.5,16.1,2.69,13.2
SIP_0897,SIP_0897: MULTI_ASSET | MOM_HURDLE_30 | 8Stk | SMART_STEPLA,MULTI_ASSET_BALANCED,MOM_HURDLE_30,8,SMART_STEPLADDER,11.09,8.64,-9.11,6.3,8.59,11.04,19.4,-16.54,3.71,14.5,16.1,2.69,13.2
SIP_0497,SIP_0497: TACTICAL_MA | MOM_HURDLE_30 | 8Stk | SMART_STEPLA,TACTICAL_MACRO_80_20,MOM_HURDLE_30,8,SMART_STEPLADDER,11.09,8.64,-9.11,6.3,8.59,11.04,19.4,-16.54,3.71,14.5,16.1,2.69,13.2
SIP_0144,SIP_0144: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,DYNAMIC_ATR,11.08,9.89,-7.86,7.2,11.9,14.35,27.1,-17.28,2.97,14.5,10.35,1.77,8.8
SIP_0053,SIP_0053: PURE_STOCKS | MOM_HURDLE_20 | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,3,ADAPTIVE_STRUCTURAL,11.04,4.11,-13.63,3.0,12.1,14.55,27.6,-17.02,3.23,14.5,17.28,2.07,18.1
