id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_04321,SIP_04321: MOMENTUM_R | MOM_HURDLE_3 | 5Stk | TIME_DECAY | FLAT_SIP_N,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,5,TIME_DECAY_MOMENTUM,FLAT_SIP_NO_DIP,10.83,12.78,-4.97,9.23,7.26,9.71,16.28,-15.8,4.45,14.5,11.34,2.16,13.1
SIP_09050,SIP_09050: DYNAMIC_RE | MOM_HURDLE_2 | 4Stk | TIME_DECAY | STEPUP_10_,DYNAMIC_REGIME_ROUTER,MOM_HURDLE_20,4,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.83,13.45,-4.29,10.13,5.87,8.32,13.1,-15.1,5.16,14.5,11.54,2.15,13.35
SIP_01002,SIP_01002: PURE_STOCK | 52W_HIGH_PRO | 3Stk | VAN_THARP_ | STEPUP_10_,PURE_STOCKS,52W_HIGH_PROXIMITY,3,VAN_THARP_3TIER,STEPUP_10_DIP_95,10.83,-4.64,-22.38,-3.68,15.89,18.34,36.75,-20.79,-0.54,14.5,23.18,0.34,11.76
SIP_04322,SIP_04322: MOMENTUM_R | MOM_HURDLE_3 | 5Stk | TIME_DECAY | STEPUP_10_,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_30,5,TIME_DECAY_MOMENTUM,STEPUP_10_DIP_95,10.83,12.25,-5.49,9.26,7.24,9.69,16.23,-15.8,4.45,14.5,11.34,2.16,11.89
SIP_02368,SIP_02368: TACTICAL_M | 52W_HIGH_PRO | 8Stk | DYNAMIC_AT | STEPUP_15_,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,8,DYNAMIC_ATR,STEPUP_15_DIP_95_SKIM,10.83,13.91,-3.84,10.68,2.44,4.89,5.37,-14.25,6.0,14.5,14.83,2.92,9.28
SIP_04997,SIP_04997: MOMENTUM_R | SECTOR_LEAD_ | 8Stk | TIME_DECAY | STEPUP_10_,MOMENTUM_ROTATE_DYNAMIC,SECTOR_LEAD_ALPHA,8,TIME_DECAY_MOMENTUM,STEPUP_10_DIP_95,10.83,10.91,-6.84,8.28,7.29,9.74,16.37,-18.58,1.67,14.5,12.99,2.4,13.36
SIP_01513,SIP_01513: TACTICAL_M | MOM_HURDLE_2 | 3Stk | ADAPTIVE_S | STEPUP_15_,TACTICAL_MACRO_90_10,MOM_HURDLE_20,3,ADAPTIVE_STRUCTURAL,STEPUP_15_DIP_95_SKIM,10.83,4.75,-13.0,3.75,10.21,12.66,23.16,-17.02,3.23,14.5,17.27,2.07,16.14
SIP_02562,SIP_02562: TACTICAL_M | CLENOW_MOMEN | 5Stk | ADAPTIVE_S | STEPUP_10_,TACTICAL_MACRO_80_20,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,STEPUP_10_DIP_95,10.83,7.0,-10.75,5.37,9.9,12.35,22.42,-18.01,2.24,14.5,14.81,2.02,7.59
SIP_06550,SIP_06550: CORE_SATEL | MOM_HURDLE_2 | 4Stk | TIME_DECAY | STEPUP_10_,CORE_SATELLITE_70_30,MOM_HURDLE_20,4,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.83,13.45,-4.29,10.13,5.87,8.32,13.1,-15.1,5.16,14.5,11.54,2.15,13.35
SIP_01581,SIP_01581: TACTICAL_M | MOM_HURDLE_2 | 6Stk | SMART_STEP | FLAT_SIP_N,TACTICAL_MACRO_90_10,MOM_HURDLE_20,6,SMART_STEPLADDER,FLAT_SIP_NO_DIP,10.83,0.1,-17.64,0.08,15.47,17.92,35.73,-18.7,1.55,14.5,17.12,2.34,12.05
