id,name,entry_mode,slots,pyramid,exit_mode,defense_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,avg_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_07479,SW_07479: DONCHIAN_T | 5Sl | CONSERVA | SUPER_RUNN | TIME_DEC,DONCHIAN_TURTLE,5,CONSERVATIVE_25,SUPER_RUNNER_15X,TIME_DECAY_STOP_7D,1.08,-24.18,-42.77,0.46,-1.54,-6.61,0.79,74.74,-6.58,1.94,8.5,1.94,0.66,1.0,10.66,60.3
SW_07476,SW_07476: DONCHIAN_T | 5Sl | CONSERVA | SUPER_RUNN | RAW_EXEC,DONCHIAN_TURTLE,5,CONSERVATIVE_25,SUPER_RUNNER_15X,RAW_EXECUTION,1.08,-24.18,-42.77,0.46,-1.54,-6.61,0.79,74.74,-6.58,1.94,8.5,1.94,0.66,1.0,10.66,60.3
SW_04136,SW_04136: MINERVINI_ | 3Sl | AGGRESSI | ASYMMETRIC | RAW_EXEC,MINERVINI_VCP,3,AGGRESSIVE_75,ASYMMETRIC_RUNNER,RAW_EXECUTION,1.07,-7.66,-14.85,0.75,-6.69,-26.26,0.84,50.04,18.28,-4.87,1.69,-4.87,1.03,0.92,16.1,47.8
SW_07032,SW_07032: DONCHIAN_T | 3Sl | NONE | MOMENTUM_E | REGIME_S,DONCHIAN_TURTLE,3,NONE,MOMENTUM_EXPONENTIAL,REGIME_SHIELD_50,1.06,-18.75,-34.2,0.47,-2.73,-11.47,0.5,55.38,6.0,10.17,16.74,10.17,0.82,1.17,9.08,58.6
SW_07472,SW_07472: DONCHIAN_T | 5Sl | CONSERVA | MOMENTUM_E | REGIME_S,DONCHIAN_TURTLE,5,CONSERVATIVE_25,MOMENTUM_EXPONENTIAL,REGIME_SHIELD_50,1.04,-14.73,-27.49,0.54,-3.88,-15.97,0.58,56.38,-5.14,10.19,16.76,10.19,0.77,1.17,11.26,60.0
SW_07339,SW_07339: DONCHIAN_T | 4Sl | AGGRESSI | ASYMMETRIC | TIME_DEC,DONCHIAN_TURTLE,4,AGGRESSIVE_75,ASYMMETRIC_RUNNER,TIME_DECAY_STOP_7D,1.03,-19.06,-34.71,0.64,-8.53,-32.44,0.62,84.44,-1.25,12.07,18.63,12.07,0.9,1.16,11.53,56.4
SW_07655,SW_07655: DONCHIAN_T | 6Sl | CONSERVA | THREE_TIER | COMPREHE,DONCHIAN_TURTLE,6,CONSERVATIVE_25,THREE_TIER_WIDE,COMPREHENSIVE_FORTRESS,1.02,-16.75,-30.9,0.71,-4.62,-18.78,0.9,60.14,-1.68,14.29,20.85,14.29,0.99,1.2,9.53,55.2
SW_07653,SW_07653: DONCHIAN_T | 6Sl | CONSERVA | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,6,CONSERVATIVE_25,THREE_TIER_WIDE,REGIME_SHIELD_AND_SWEEP,1.02,-16.75,-30.9,0.71,-4.62,-18.78,0.9,60.14,-1.68,14.29,20.85,14.29,0.99,1.2,9.53,55.2
SW_07735,SW_07735: DONCHIAN_T | 6Sl | AGGRESSI | THREE_TIER | COMPREHE,DONCHIAN_TURTLE,6,AGGRESSIVE_75,THREE_TIER_WIDE,COMPREHENSIVE_FORTRESS,1.01,-12.06,-22.83,0.78,-9.09,-34.24,0.75,71.29,-6.35,12.06,18.63,12.06,1.07,1.17,11.13,52.6
SW_07733,SW_07733: DONCHIAN_T | 6Sl | AGGRESSI | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,6,AGGRESSIVE_75,THREE_TIER_WIDE,REGIME_SHIELD_AND_SWEEP,1.01,-12.06,-22.83,0.78,-9.09,-34.24,0.75,71.29,-6.35,12.06,18.63,12.06,1.07,1.17,11.13,52.6
SW_07445,SW_07445: DONCHIAN_T | 5Sl | CONSERVA | SCALPER_TI | COMPREHE,DONCHIAN_TURTLE,5,CONSERVATIVE_25,SCALPER_TIGHT,COMPREHENSIVE_FORTRESS,0.99,-13.88,-26.01,0.82,-1.73,-7.4,1.25,42.0,-5.13,11.8,18.36,11.8,1.08,1.11,14.46,49.5
SW_02001,SW_02001: CLENOW_SMO | 3Sl | NONE | SCALPER_TI | RAW_EXEC,CLENOW_SMOOTHNESS,3,NONE,SCALPER_TIGHT,RAW_EXECUTION,0.99,-13.73,-25.76,0.68,0.13,0.57,0.74,19.96,28.79,4.8,11.36,4.8,0.84,1.02,21.39,55.2
SW_07577,SW_07577: DONCHIAN_T | 5Sl | INVERSE_ | ASYMMETRIC | REGIME_S,DONCHIAN_TURTLE,5,INVERSE_VOL_SIZING,ASYMMETRIC_RUNNER,REGIME_SHIELD_50,0.98,-5.77,-11.29,0.71,-3.97,-16.31,0.67,36.82,-8.97,6.64,13.2,6.64,0.82,1.14,10.53,56.5
SW_02002,SW_02002: CLENOW_SMO | 3Sl | NONE | SCALPER_TI | REGIME_S,CLENOW_SMOOTHNESS,3,NONE,SCALPER_TIGHT,REGIME_SHIELD_50,0.98,-17.09,-31.47,0.66,1.7,7.68,0.65,19.96,26.6,5.74,12.3,5.74,0.8,1.03,21.77,56.8
SW_07045,SW_07045: DONCHIAN_T | 3Sl | CONSERVA | SCALPER_TI | COMPREHE,DONCHIAN_TURTLE,3,CONSERVATIVE_25,SCALPER_TIGHT,COMPREHENSIVE_FORTRESS,0.98,-12.69,-23.94,0.85,-0.26,-1.15,0.9,42.9,-11.24,0.07,6.63,0.07,0.98,0.97,23.79,48.1
SW_07858,SW_07858: DONCHIAN_T | 8Sl | CONSERVA | ASYMMETRIC | REGIME_S,DONCHIAN_TURTLE,8,CONSERVATIVE_25,ASYMMETRIC_RUNNER,REGIME_SHIELD_AND_SWEEP,0.98,-14.38,-26.88,0.63,-3.19,-13.27,0.76,49.05,-7.9,15.73,22.29,15.73,0.9,1.26,9.02,57.5
SW_08700,SW_08700: RANGE_EXPA | 6Sl | LIVERMOR | ASYMMETRIC | COMPREHE,RANGE_EXPANSION_BURST,6,LIVERMORE_50,ASYMMETRIC_RUNNER,COMPREHENSIVE_FORTRESS,0.97,-18.21,-33.32,0.48,3.21,14.89,1.44,32.99,16.81,-13.47,-6.91,-13.47,0.99,0.77,19.97,46.1
SW_07176,SW_07176: DONCHIAN_T | 3Sl | INVERSE_ | ASYMMETRIC | RAW_EXEC,DONCHIAN_TURTLE,3,INVERSE_VOL_SIZING,ASYMMETRIC_RUNNER,RAW_EXECUTION,0.97,-11.86,-22.48,0.53,-1.64,-7.01,0.81,35.82,-1.19,9.58,16.14,9.58,0.86,1.16,10.3,56.6
SW_07136,SW_07136: DONCHIAN_T | 3Sl | AGGRESSI | ASYMMETRIC | RAW_EXEC,DONCHIAN_TURTLE,3,AGGRESSIVE_75,ASYMMETRIC_RUNNER,RAW_EXECUTION,0.96,-20.53,-37.09,0.78,-12.35,-44.0,0.72,104.24,11.86,0.46,7.03,0.46,0.9,0.97,14.88,53.2
SW_04904,SW_04904: MINERVINI_ | 8Sl | LIVERMOR | REGIME_ADA | TIME_DEC,MINERVINI_VCP,8,LIVERMORE_50,REGIME_ADAPTIVE,TIME_DECAY_STOP_7D,0.95,-7.89,-15.27,0.82,-2.08,-8.84,0.98,29.83,5.86,1.34,7.91,1.34,1.01,1.03,11.23,51.0
SW_08935,SW_08935: RANGE_EXPA | 8Sl | AGGRESSI | THREE_TIER | COMPREHE,RANGE_EXPANSION_BURST,8,AGGRESSIVE_75,THREE_TIER_WIDE,COMPREHENSIVE_FORTRESS,0.94,-20.4,-36.87,0.67,2.94,13.6,1.2,28.33,20.37,-0.59,5.97,-0.59,1.09,0.96,13.45,46.6
SW_08933,SW_08933: RANGE_EXPA | 8Sl | AGGRESSI | THREE_TIER | REGIME_S,RANGE_EXPANSION_BURST,8,AGGRESSIVE_75,THREE_TIER_WIDE,REGIME_SHIELD_AND_SWEEP,0.94,-20.4,-36.87,0.67,2.94,13.6,1.2,28.33,20.37,-0.59,5.97,-0.59,1.09,0.96,13.45,46.6
SW_07378,SW_07378: DONCHIAN_T | 4Sl | INVERSE_ | ASYMMETRIC | REGIME_S,DONCHIAN_TURTLE,4,INVERSE_VOL_SIZING,ASYMMETRIC_RUNNER,REGIME_SHIELD_AND_SWEEP,0.93,-7.09,-13.78,0.59,-3.79,-15.61,0.71,41.16,-5.24,1.82,8.38,1.82,0.78,0.96,10.74,53.9
SW_04746,SW_04746: MINERVINI_ | 6Sl | AGGRESSI | CHANDELIER | RAW_EXEC,MINERVINI_VCP,6,AGGRESSIVE_75,CHANDELIER_RUNNER,RAW_EXECUTION,0.92,-9.08,-17.47,0.61,-2.96,-12.38,0.63,35.49,7.0,3.14,9.7,3.14,0.98,1.06,12.95,52.2
